Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-989-30H,0,15,0,0,15,3.000,0,0,0,0,15,
SECTION,H,,P,F/P,F,,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MFCM-800-31D,1,,4,0,0,,5,3.200,1,0,0,0,6,MCKINNEY B
MFCM-800-31H,0,,6,0,0,,6,3.000,2,0,0,0,8,HOLLEMAN M
MFCM-800-31T,2,,3,0,0,,5,3.400,0,0,0,0,5,HOLLAND P
MFCM-800-32D,1,,5,0,0,,6,3.166,0,0,0,0,6,MCKINNEY B
MFCM-800-32H,2,,4,0,0,,6,3.333,2,0,0,0,8,IRMA T
MFCM-800-33H,2,,5,0,0,,7,3.285,1,0,0,0,8,IRMA T
MFCM-800-33R,2,,3,0,0,,5,3.400,0,0,0,0,5,ESPARZA S
MFCM-800-34D,1,,4,0,0,,5,3.200,0,0,0,0,5,MCKINNEY B
MFCM-800-34H,1,,7,0,0,,8,3.125,0,0,0,0,8,IRMA T
MPED-800-31D,2,,5,0,0,,7,3.285,0,0,0,0,7,PRENGLER R
MPED-800-31H,1,,7,0,0,,8,3.125,0,0,0,0,8,BYRD R
MPED-800-32D,1,5,0,0,6,3.166,0,0,0,0,6,PRENGLER R
MPED-800-32H,2,5,0,0,7,3.285,1,0,0,0,8,BYRD R
MPED-800-32T,1,4,0,0,5,3.200,0,0,0,0,5,FREEMAN R
MPED-800-33D,1,4,0,0,5,3.200,1,0,0,0,6,PRENGLER R
MPED-800-33H,5,3,0,0,8,3.625,0,0,0,0,8,BYRD R
MPED-800-33R,2,4,0,0,6,3.333,0,0,0,0,6,HIGGERSON R
MPED-800-34D,1,6,0,0,7,3.142,0,0,0,0,7,PRENGLER R
MPED-800-34H,2,6,0,0,8,3.250,0,0,0,0,8,BYRD R
MPSY-800-31D,2,4,0,0,6,3.333,0,0,0,0,6,KELT S
MPSY-800-31H,4,5,0,0,9,3.444,0,0,0,0,9,FLACK J
MPSY-800-32D,1,6,0,0,7,3.142,0,0,0,0,7,KELT S
MPSY-800-32H,1,7,0,0,8,3.125,0,0,0,0,8,KELT S
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MPSY-800-32T,3,3,0,0,6,3.500,0,0,0,0,6,RUMBAUGH W
MPSY-800-33D,2,3,0,0,5,3.400,0,0,0,0,5,KELT S
MPSY-800-33H,1,6,0,0,7,3.142,1,0,0,0,8,FLACK J
MPSY-800-34D,1,4,0,0,5,3.200,0,0,0,0,5,KELT S
MPSY-800-34H,4,3,0,0,7,3.571,0,0,0,0,7,FLACK J
MPSY-800-34R,1,4,0,0,5,3.200,0,0,0,0,5,GARZA V
MRAD-800-30B,5,13,0,0,18,3.277,0,0,0,0,18,SULTENFUSS M
MRAD-800-30H,8,9,0,0,17,3.470,0,0,0,0,17,SULTENFUSS M
MRAD-800-30T,10,0,0,0,10,4.000,0,0,0,0,10,SULTENFUSS M
MRAD-800-31T,6,0,0,0,6,4.000,0,0,0,0,6,SULTENFUSS M
OBGY-800-31H,1,7,0,0,8,3.125,0,0,0,0,8,HARMS K
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
OBGY-800-32D,3,3,0,0,6,3.500,0,0,0,0,6,SPILLMAN M
OBGY-800-32H,1,8,0,0,9,3.111,0,0,0,0,9,HARMS K
OBGY-800-33D,1,7,0,0,8,3.125,0,0,0,0,8,SPILLMAN M
OBGY-800-33H,4,3,0,0,7,3.571,0,0,0,0,7,HARMS K
OBGY-800-34D,3,3,0,0,6,3.500,0,0,0,0,6,SPILLMAN M
OBGY-800-34H,5,3,0,0,8,3.625,1,0,0,0,9,HARMS K
OBGY-800-34R,2,3,0,0,5,3.400,0,0,0,0,5,BIRKHOLZ C
SURG-800-31D,4,8,0,0,12,3.333,1,0,0,0,13,FUNK G
SURG-800-31H,6,8,0,0,14,3.428,1,0,0,0,15,SHERMAN V
SURG-800-31R,1,4,0,0,5,3.200,0,0,0,0,5,LEWIS R
SURG-800-31T,4,3,0,0,7,3.571,1,0,0,0,8,LITTLE D
SURG-800-32D,4,7,0,0,11,3.363,1,0,0,0,12,FUNK G
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
SURG-800-32H,8,10,0,0,18,3.444,0,0,0,0,18,SHERMAN V
SURG-800-32T,2,8,0,0,10,3.200,1,0,0,0,11,LITTLE D
DEPARTMENT TOTAL:,344,1393,4,11,1752,3.207,24,0,0,2,1778,
COLLEGE TOTAL:,344,1393,4,11,1752,3.207,24,0,0,2,1778,
